Epoch,Train Duration,Train it/s,Train loss,Train accuracy,Test Duration,Test it/s,Test loss,Test accuracy
80.0,41.0,1.17,0.2883,0.8743,9.0,1.37,0.4108,0.8104
81.0,42.0,1.16,0.3031,0.8717,8.0,1.57,0.371,0.8442
82.0,42.0,1.17,0.2891,0.8775,9.0,1.4,0.3874,0.8234
83.0,41.0,1.17,0.2851,0.8782,9.0,1.39,0.3618,0.8494
84.0,42.0,1.17,0.2833,0.8814,8.0,1.45,0.4012,0.8338
85.0,41.0,1.17,0.3323,0.849,8.0,1.47,0.364,0.8545
86.0,41.0,1.17,0.283,0.8769,9.0,1.39,0.4076,0.8208
87.0,42.0,1.16,0.2897,0.8859,9.0,1.39,0.3648,0.8338
88.0,41.0,1.17,0.2935,0.8769,8.0,1.55,0.3535,0.8545
89.0,42.0,1.16,0.2967,0.8652,9.0,1.42,0.357,0.8649
90.0,42.0,1.16,0.2637,0.8918,9.0,1.37,0.4412,0.8156
91.0,41.0,1.17,0.2684,0.8924,9.0,1.43,0.4335,0.8234
92.0,42.0,1.16,0.2882,0.8743,8.0,1.53,0.3782,0.8234
93.0,41.0,1.17,0.3056,0.8684,9.0,1.39,0.426,0.813
94.0,41.0,1.17,0.2874,0.873,9.0,1.38,0.3616,0.8312
95.0,42.0,1.16,0.2936,0.8717,8.0,1.56,0.4375,0.8156
96.0,41.0,1.17,0.2997,0.8775,9.0,1.38,0.4085,0.8078
97.0,41.0,1.17,0.296,0.873,9.0,1.39,0.4118,0.8312
98.0,42.0,1.17,0.3057,0.8684,8.0,1.49,0.4063,0.8416
99.0,42.0,1.15,0.2865,0.8574,8.0,1.51,0.3667,0.8597
100.0,41.0,1.17,0.2783,0.8749,9.0,1.36,0.3459,0.8442
