Epoch,Train Duration,Train it/s,Train loss,Train accuracy,Test Duration,Test it/s,Test loss,Test accuracy
80.0,41.0,1.15,0.3483,0.8402,8.0,1.46,0.3818,0.8251
81.0,41.0,1.16,0.3289,0.8637,9.0,1.25,0.3936,0.8225
82.0,40.0,1.17,0.3689,0.8363,9.0,1.26,0.5049,0.7859
83.0,42.0,1.14,0.3337,0.8598,8.0,1.39,0.4469,0.7911
84.0,41.0,1.15,0.3308,0.8539,9.0,1.26,0.39,0.8172
85.0,41.0,1.15,0.3373,0.8532,8.0,1.45,0.3843,0.8094
86.0,42.0,1.14,0.3217,0.8558,9.0,1.31,0.5392,0.7728
87.0,40.0,1.18,0.339,0.8513,9.0,1.23,0.4083,0.8016
88.0,41.0,1.16,0.3068,0.8702,8.0,1.48,0.3821,0.8277
89.0,41.0,1.16,0.3425,0.8565,9.0,1.28,0.3927,0.8355
90.0,40.0,1.19,0.3448,0.8493,9.0,1.27,0.3867,0.8172
91.0,41.0,1.16,0.3148,0.8617,8.0,1.48,0.3732,0.8303
92.0,41.0,1.17,0.3238,0.8558,9.0,1.29,0.3746,0.812
93.0,39.0,1.2,0.324,0.8565,9.0,1.27,0.4035,0.8146
94.0,41.0,1.16,0.3295,0.8578,8.0,1.47,0.4101,0.8198
95.0,41.0,1.16,0.3361,0.8611,9.0,1.32,0.4076,0.7937
96.0,40.0,1.19,0.3135,0.8682,9.0,1.27,0.3642,0.8355
97.0,40.0,1.17,0.3173,0.8558,8.0,1.48,0.3796,0.8146
98.0,40.0,1.17,0.3184,0.8761,8.0,1.34,0.6536,0.7363
99.0,40.0,1.18,0.3469,0.848,9.0,1.26,0.3523,0.8303
100.0,41.0,1.17,0.3289,0.8604,8.0,1.45,0.3955,0.8042
