Epoch,Train Duration,Train it/s,Train loss,Train accuracy,Test Duration,Test it/s,Test loss,Test accuracy
80.0,32.0,1.53,0.3114,0.8552,8.0,1.42,0.3785,0.8346
81.0,31.0,1.54,0.2791,0.8942,8.0,1.49,0.3444,0.8294
82.0,32.0,1.52,0.281,0.8773,7.0,1.56,0.4009,0.8268
83.0,32.0,1.51,0.2825,0.8766,7.0,1.55,0.3777,0.8451
84.0,32.0,1.52,0.2904,0.8779,7.0,1.57,0.4174,0.8241
85.0,32.0,1.53,0.2673,0.8929,7.0,1.53,0.3836,0.832
86.0,32.0,1.51,0.2867,0.8812,8.0,1.48,0.3939,0.8399
87.0,32.0,1.53,0.2868,0.8779,8.0,1.46,0.3922,0.8268
88.0,32.0,1.52,0.2718,0.8825,8.0,1.42,0.4189,0.8084
89.0,32.0,1.5,0.2698,0.8877,8.0,1.37,0.406,0.8451
90.0,31.0,1.53,0.2852,0.8792,8.0,1.37,0.3798,0.8215
91.0,31.0,1.54,0.2824,0.8799,8.0,1.35,0.4331,0.8268
92.0,31.0,1.55,0.2463,0.8903,8.0,1.36,0.3982,0.8346
93.0,31.0,1.54,0.2641,0.8942,9.0,1.33,0.4123,0.8189
94.0,32.0,1.51,0.2729,0.8929,8.0,1.36,0.4103,0.8451
95.0,32.0,1.5,0.2494,0.8935,8.0,1.37,0.4391,0.832
96.0,32.0,1.51,0.274,0.8896,8.0,1.42,0.3821,0.8294
97.0,31.0,1.54,0.2623,0.8877,8.0,1.38,0.3881,0.8451
98.0,31.0,1.54,0.2441,0.8935,8.0,1.36,0.3775,0.8215
99.0,31.0,1.55,0.2552,0.8955,8.0,1.36,0.4016,0.8478
100.0,31.0,1.55,0.2763,0.876,8.0,1.36,0.412,0.832
